key,value,version,sheet
Settings_BasicSettings_Group,精英敌人设置,2.3,Groups
Settings_NormalEliteChance,普通怪物精英概率,2.3,BasicSettings
Settings_BossEliteChance,Boss精英概率,2.3,BasicSettings
Settings_MerchantEliteChance,商人精英概率,2.3,BasicSettings
Settings_MaxAffixCount,词条数量上限,2.3,BasicSettings
Settings_DropRateMultiplier,精英掉落倍率（影响掉落概率，默认1即无惩罚，建议0.5至1）,2.3,BasicSettings
Settings_ItemQualityBias,物品品质偏好（影响掉落品质，默认-1.5，建议-2至0.5）,2.3,BasicSettings
Settings_GlobalMultipliers_Group,全局属性调整（仅对精英怪生效）,2.3,Groups
Settings_GlobalHealthMultiplier,全局血量倍率,2.3,BasicSettings
Settings_GlobalDamageMultiplier,全局伤害倍率,2.3,BasicSettings
Settings_GlobalSpeedMultiplier,全局速度倍率,2.3,BasicSettings
Settings_EnableBonusLoot,启用奖励掉落（由词条数量、稀有度、怪物类型加权决定）,2.3,BasicSettings
Settings_VisualSettings_Group,视觉效果设置,2.3,Groups
Settings_ShowEliteName,显示精英敌人词缀,2.3,VisualSettings
Settings_ShowDetailedHealth,显示精英敌人血量,2.3,VisualSettings
Settings_AffixDisplayPosition,"词缀显示位置(Overhead=头顶, Underfoot=脚底)",2.3,VisualSettings
Settings_AffixFontSize,词缀字体大小,2.3,VisualSettings
Settings_AffixCountWeights_Group,词条数量权重（数值越大越常见）,2.3,Groups
Settings_AffixWeight1,1个词条的权重（推荐：30-70）,2.3,BasicSettings
Settings_AffixWeight2,2个词条的权重（推荐：20-50）,2.3,BasicSettings
Settings_AffixWeight3,3个词条的权重（推荐：10-30）,2.3,BasicSettings
Settings_AffixWeight4,4个词条的权重（推荐：1-10）,2.3,BasicSettings
Settings_AffixWeight5,5个词条的权重（推荐：0-5）,2.3,BasicSettings
Settings_AffixToggles_Group,词条开关,2.3,Groups
Affix_Tanky_Name,肉盾,2.3,AffixNames
Affix_Tanky_Description,更耐打但行动迟缓。掉落：重型防弹衣、医疗箱,2.3,AffixDescription
Affix_Swift_Name,迅捷,2.3,AffixNames
Affix_Swift_Description,移动迅速但较为脆弱。掉落：轻盈图腾、提速针剂,2.3,AffixDescription
Affix_Berserk_Name,狂暴,2.3,AffixNames
Affix_Berserk_Description,攻击力更强但生命略低。掉落：进击图腾、热血针剂,2.3,AffixDescription
Affix_Berserk_PopText_1,<color=#DC143C>怒了！！！</color>,2.3,AffixBehavior
Affix_GlassCannon_Name,玻璃大炮,2.3,AffixNames
Affix_GlassCannon_Description,伤害极高但极其脆弱。掉落：特种穿甲弹,2.3,AffixDescription
Affix_Fisherman_Name,钓鱼佬,2.3,AffixNames
Affix_Fisherman_Description,掉落各种鱼类、鱼饵与鱼竿,2.3,AffixDescription
Affix_Chef_Name,厨子,2.3,AffixNames
Affix_Chef_Description,喜欢美食与饮品，掉落罐头、水、甜点等补给物资,2.3,AffixDescription
Affix_Talkative_Name,话痨,2.3,AffixNames
Affix_Talkative_Description,战斗中会不断发表随机台词或嘲讽,2.3,AffixDescription
Affix_Talkative_Messages,我是精英！|来战啊！|你打不过我的！|哈哈哈！|太弱了！,2.3,AffixBehavior
Affix_Regeneration_Name,再生,2.3,AffixNames
Affix_Regeneration_Description,持续回复生命，每秒回复约 10 点生命值,2.3,AffixDescription
Affix_Hardening_Name,硬化,2.3,AffixNames
Affix_Hardening_Description,受伤时随机降低 5%-12% 物理伤害，最多50%,2.3,AffixDescription
Affix_Hardening_PopText_1,<color=#B2B2B2>硬化 +{0}</color>,2.3,AffixBehavior
Affix_Blindness_Name,致盲,2.3,AffixNames
Affix_Blindness_Description,攻击使玩家视野受限5秒,2.3,AffixDescription
Buff_EliteBuff_Blindness_Name,致盲,2.3,BuffNames
Affix_Slow_Name,迟缓,2.3,AffixNames
Affix_Slow_Description,攻击施加减速效果,2.3,AffixDescription
Buff_EliteBuff_Slow_Name,迟缓,2.3,BuffNames
Affix_Stun_Name,震慑,2.3,AffixNames
Affix_Stun_Description,攻击震慑玩家，枪械控制力下降,2.3,AffixDescription
Buff_EliteBuff_Stun_Name,震慑,2.3,BuffNames
Affix_Invisible_Name,隐身,2.3,AffixNames
Affix_Invisible_Description,获得隐身状态，每隔数秒会短暂显形并闪烁几下,2.3,AffixDescription
Affix_Invisible_Messages,你刚才是不是看到我了？|别眨眼，我又消失啦～|嘘……什么都没发生。|幻觉？还是我太快了？|我就在你背后……开玩笑的。,2.3,AffixBehavior
Affix_Musician_Name,音乐家,2.3,AffixNames
Affix_Musician_Description,带着乐器上战场的奇葩，掉落乐器,2.3,AffixDescription
Affix_NineDragons_Name,九龙拉棺,2.3,AffixNames
Affix_NineDragons_Description,全属性提升 1.3 倍，掉落各种针剂,2.3,AffixDescription
Affix_Giant_Name,巨大化,2.3,AffixNames
Affix_Giant_Description,敌人变得更大，生命值提升但移动速度降低,2.3,AffixDescription
Affix_Mini_Name,迷你,2.3,AffixNames
Affix_Mini_Description,敌人变得更小，生命略低但移速略微提升,2.3,AffixDescription
Affix_Undead_Name,不死,2.3,AffixNames
Affix_Undead_Description,残血时短暂无敌 2 s，并恢复至 50% 生命,2.3,AffixDescription
Affix_Undead_PopText_1,还没那么容易倒下！,2.3,AffixBehavior
Affix_Undead_PopText_2,萎了！,2.3,AffixBehavior
Affix_Vampirism_Name,吸血,2.3,AffixNames
Affix_Vampirism_Description,攻击时概率回复一定比例自身生命值,2.3,AffixDescription
Affix_Vampirism_PopText_1,<color=#DC143C>吸血回复！+{0}</color>,2.3,AffixBehavior
Affix_DungEater_Name,食粪者,2.3,AffixNames
Affix_DungEater_Description,鸭科夫玩家最喜欢的一集？,2.3,AffixDescription
Buff_EliteBuff_DungEater_Name,食粪者,2.3,BuffNames
Affix_Chaos_Name,混沌,2.3,AffixNames
Affix_Chaos_Description,攻击随机产生异常效果,2.3,AffixDescription
Affix_Chaos_PopText_1,<color=#9400D3>混沌侵蚀！{0}</color>,2.3,AffixBehavior
Affix_Split_Name,分裂,2.3,AffixNames
Affix_Split_Description,敌人残血时召唤数个更弱的分身,2.3,AffixDescription
Affix_Explosive_Name,自爆,2.3,AffixNames
Affix_Explosive_Description,死亡后引发小范围爆炸，造成约 20 点伤害,2.3,AffixDescription
Affix_TimeStop_Name,时停,2.3,AffixNames
Affix_TimeStop_Description,受伤时会短暂停止时间约 3 秒,2.3,AffixDescription
Affix_TimeStop_PopText_1,<color=#FFD700>砸瓦鲁多！</color>,2.3,AffixBehavior
Affix_MagazineCurse_Name,弹匣诅咒,2.3,AffixNames
Affix_MagazineCurse_Description,受伤时强制玩家换弹，掉落各种快速弹匣组件,2.3,AffixDescription
Affix_MagazineCurse_PopText_1,<color=#9B59B6>弹匣诅咒！</color>,2.3,AffixBehavior
Affix_MagazineCurse_PopText_2,<color=#9B59B6>被迫换弹！</color>,2.3,AffixBehavior
Affix_Knockback_Name,击飞,2.3,AffixNames
Affix_Knockback_Description,攻击产生强力击退,2.3,AffixDescription
Affix_Knockback_PopText_1,<color=#FF4500>装逼我让你飞起来！</color>,2.3,AffixBehavior
Affix_Phase_Name,相位,2.3,AffixNames
Affix_Phase_Description,命中玩家时与玩家交换位置,2.3,AffixDescription
Affix_Phase_PopText_1,<color=#00FFFF>相位移形！</color>,2.3,AffixBehavior
Affix_Revenge_Name,报复,2.3,AffixNames
Affix_Revenge_Description,受伤时会向攻击者发射火箭弹反击,2.3,AffixDescription
Affix_Distortion_Name,扭曲,2.3,AffixNames
Affix_Distortion_Description,攻击使玩家子弹偏转形成弧形,2.3,AffixDescription
Buff_EliteBuff_Distortion_Name,扭曲,2.3,BuffNames
Affix_MultiShot_Name,多重射击,2.3,AffixNames
Affix_MultiShot_Description,攻击时额外发射两枚子弹,2.3,AffixDescription
Affix_Guardian_Name,守护,2.3,AffixNames
Affix_Guardian_Description,分身存活期间，本体处于“完全无敌”状态。,2.3,AffixDescription
Affix_Guardian_MateSuffix,<color=#FFD700>守护核心</color>,2.3,AffixBehavior
Affix_Guardian_ImmunePop,<color=#FF9900>免疫！</color>,2.3,AffixBehavior
Affix_Guardian_ShieldBroken,护盾破碎！,2.3,AffixBehavior
Affix_Collector_Name,收藏家,2.3,AffixNames
Affix_Collector_Description,掉落各种收藏品,2.3,AffixDescription
Affix_Gunsmith_Name,枪匠,2.3,AffixNames
Affix_Gunsmith_Description,掉落枪械配件,2.3,AffixDescription
Affix_MimicTear_Name,仿身泪滴,2.3,AffixNames
Affix_MimicTear_Description,复制玩家主手武器与装备（不会掉落）,2.3,AffixDescription
Affix_Sticky_Name,粘性,2.3,AffixNames
Affix_Sticky_Description,首次受击会使玩家掉落当前装备的武器，击杀掉落胶带与万能胶,2.3,AffixDescription
Affix_Sticky_PopText_1,黏住啦！,2.3,AffixBehavior
Affix_Sticky_PopText_2,武器被粘掉了…,2.3,AffixBehavior
Affix_Slime_Name,史莱姆,2.3,AffixNames
Affix_Slime_Description,初始巨大但虚弱，随血量降低逐渐缩小并增强伤害，会周期性跳跃,2.3,AffixDescription
Affix_ChickenBro_Name,鸡哥,2.3,AffixNames
Affix_ChickenBro_Description,出生时召唤小鸡护卫,2.3,AffixDescription
Affix_ChickenBro_Summon_Name,<color=#FFD600>鸡弟</color>,2.3,AffixBehavior
Affix_MandarinDuck_Name,鸳鸯,2.3,AffixNames
Affix_MandarinDuck_Description,真是一对苦命鸳鸯！,2.3,AffixDescription
Affix_MandarinDuck_MateSuffix,<color=#F08080>伴侣</color>,2.3,AffixBehavior
Affix_Obscurer_Name,封弊者,2.3,AffixNames
Affix_Obscurer_Description,隐藏所有词条名称显示为乱码,2.3,AffixDescription
Affix_Grenadier_Name,掷弹手,2.3,AffixNames
Affix_Grenadier_Description,攻击命中时会向目标投掷手雷,2.3,AffixDescription
Affix_Hardening_Max,绝对防御,2.3,AffixBehavior
Affix_Hardening_Weakened,防御崩溃,2.3,AffixBehavior
Affix_Hardening_Recover,装甲重组,2.3,AffixBehavior
EliteLoot_Fixed,<color=#B0B0B0>精英怪固定掉落</color>,2.3,FromInfoKey
EliteLoot_Random,<color=#4BC0FF>精英怪随机掉落</color>,2.3,FromInfoKey
EliteLoot_Bonus,<color=#FFD24D>精英怪稀有度奖励</color>,2.3,FromInfoKey
Affix_EMP_Name,电磁干扰,2.3,AffixNames
Affix_EMP_Description,攻击会干扰电子设备，使玩家 HUD 失效,2.3,AffixDescription
Buff_EliteBuff_EMP_Name,EMP,2.3,BuffNames
Affix_EMP_PopText_1,<color=#4D9CFF>▞电▒磁▣干▓扰▒！</color>,2.3,AffixBehavior
Affix_EMP_PopText_2,<color=#90FF90>HUD重启中...</color>,2.3,AffixBehavior
Affix_Tear_Name,撕裂,2.3,AffixNames
Affix_Tear_Description,命中玩家削弱玩家护甲,2.3,AffixDescription
Buff_EliteBuff_Tear_Name,撕裂,2.3,BuffNames
Affix_Tear_PopText_1,<color=#FF0000>护甲撕裂 {0:0}%</color>,2.3,AffixBehavior
Affix_Slippery_Name,打滑,2.3,AffixNames
Affix_Slippery_Description,攻击会使玩家脚底失去摩擦力，移动如同在冰面上。,2.3,AffixDescription
Buff_EliteBuff_Slippery_Name,打滑,2.3,BuffNames
Affix_Slippery_PopText_1,<color=#7FE8FF>好滑~~~</color>,2.3,AffixBehavior
Affix_Locksmith_Name,锁匠,2.3,AffixNames
Affix_Locksmith_Description,死亡时会掉落一把随机钥匙。,2.3,AffixDescription
Affix_Overload_Name,过载,2.3,AffixNames
Affix_Overload_Description,受伤后进入过载状态，持续射击时间大幅延长,2.3,AffixDescription
Affix_Overload_PopText,<color=#FF4500>武器过载！！！</color>,2.3,AffixBehavior
Affix_Mimic_Name,拟态,2.3,AffixNames
Affix_Mimic_Description,伪装成补给箱，在受伤时显形并突袭,2.3,AffixDescription
Settings_AffixSpecialSettings_Group,词缀特殊设置,2.3,Groups
Settings_SplitAffixMaxCloneCount,[分裂] 最大同屏数量限制,2.3,BasicSettings
Settings_SplitAffixMinFPSThreshold,[分裂] 最低帧率熔断值,2.3,BasicSettings
Affix_Reflect_Name,反弹,2.3,AffixNames
Affix_Reflect_Description,周期性生成护盾，将受到的子弹反弹回攻击者,2.3,AffixDescription
Affix_Reflect_PopText,<color=#00BFFF>反弹！</color>,2.3,AffixBehavior
Affix_Frozen_Name,严寒,2.3,AffixNames
Affix_Frozen_Description,攻击命中时有概率冻结玩家（12秒冷却时间）,2.3,AffixDescription
Settings_EnableComboSystem,是否生成Combo怪物,2.3,BasicSettings
Settings_ComboSystemChance,Combo怪物出现概率,2.3,BasicSettings
