key,value,version,sheet
Settings_BasicSettings_Group,精英敵人設定,2.3,Groups
Settings_NormalEliteChance,普通怪物精英概率,2.3,BasicSettings
Settings_BossEliteChance,Boss精英概率,2.3,BasicSettings
Settings_MerchantEliteChance,商人精英概率,2.3,BasicSettings
Settings_MaxAffixCount,詞條數量上限,2.3,BasicSettings
Settings_DropRateMultiplier,精英掉落倍率（影響掉落概率，默認 1 即無懲罰，建議 0.5 至 1）,2.4,BasicSettings
Settings_ItemQualityBias,物品品質偏好（影響掉落品質，默認 -1.5，建議 -2 至 0.5）,2.4,BasicSettings
Settings_GlobalMultipliers_Group,全局屬性調整（僅對精英怪生效）,2.4,Groups
Settings_GlobalHealthMultiplier,全局血量倍率,2.4,BasicSettings
Settings_GlobalDamageMultiplier,全局傷害倍率,2.4,BasicSettings
Settings_GlobalSpeedMultiplier,全局速度倍率,2.4,BasicSettings
Settings_EnableBonusLoot,啟用獎勵掉落（由詞條數量、稀有度、怪物類型加權決定）,2.4,BasicSettings
Settings_VisualSettings_Group,視覺效果設置,2.3,Groups
Settings_ShowEliteName,顯示精英敵人名字,2.3,VisualSettings
Settings_ShowDetailedHealth,顯示精英敵人血量,2.3,VisualSettings
Settings_AffixDisplayPosition,詞綴顯示位置（Overhead＝頭頂，Underfoot＝腳底）,2.3,VisualSettings
Settings_AffixFontSize,詞綴字體大小,2.3,VisualSettings
Settings_AffixCountWeights_Group,詞條數量權重（數值越大越常見）,2.3,Groups
Settings_AffixWeight1,1個詞條的權重（推薦：30-70）,2.3,BasicSettings
Settings_AffixWeight2,2個詞條的權重（推薦：20-50）,2.3,BasicSettings
Settings_AffixWeight3,3個詞條的權重（推薦：10-30）,2.3,BasicSettings
Settings_AffixWeight4,4個詞條的權重（推薦：1-10）,2.3,BasicSettings
Settings_AffixWeight5,5個詞條的權重（推薦：0-5）,2.3,BasicSettings
Settings_AffixToggles_Group,詞條開關,2.3,Groups
Affix_Tanky_Name,肉盾,2.3,AffixNames
Affix_Tanky_Description,更耐打但行動遲緩。掉落：重型防彈衣、醫療箱,2.3,AffixDescription
Affix_Swift_Name,迅捷,2.3,AffixNames
Affix_Swift_Description,移動迅速但較為脆弱。掉落：輕盈圖騰、提速針劑,2.3,AffixDescription
Affix_Berserk_Name,狂暴,2.3,AffixNames
Affix_Berserk_Description,攻擊力更強但生命略低。掉落：進擊圖騰、熱血針劑,2.3,AffixDescription
Affix_Berserk_PopText_1,<color=#DC143C>怒了！！！</color>,2.3,AffixBehavior
Affix_GlassCannon_Name,玻璃大炮,2.3,AffixNames
Affix_GlassCannon_Description,傷害極高但極其脆弱。掉落：特種穿甲彈,2.3,AffixDescription
Affix_Fisherman_Name,釣魚佬,2.3,AffixNames
Affix_Fisherman_Description,掉落各種魚類、魚餌與魚竿,2.3,AffixDescription
Affix_Chef_Name,廚子,2.3,AffixNames
Affix_Chef_Description,喜歡美食與飲品，掉落罐頭、水、甜點等補給物資,2.3,AffixDescription
Affix_Talkative_Name,話癆,2.3,AffixNames
Affix_Talkative_Description,戰鬥中會不斷發表隨機台詞或嘲諷,2.3,AffixDescription
Affix_Talkative_Messages,我是精英！|來戰啊！|你打不過我的！|哈哈哈！|太弱了！,2.3,AffixBehavior
Affix_Regeneration_Name,再生,2.3,AffixNames
