key,value,version,sheet
Settings_BasicSettings_Group,Элитные Противники,2.3,Groups
Settings_NormalEliteChance,Шанс Элиты Для Нормальных Противников,2.3,BasicSettings
Settings_BossEliteChance,Шанс Элиты Для Боссов,2.3,BasicSettings
Settings_MerchantEliteChance,Шанс Элиты Для Торговца,2.3,BasicSettings
Settings_MaxAffixCount,Максимальное Число Аффиксов,2.3,BasicSettings
Settings_DropRateMultiplier,Модификатор Шанса Добычи с Элиты (общий шанс добычи),2.3,BasicSettings
Settings_ItemQualityBias,"Смещение по Качеству Добычи (влияет на ценность добычи, рекоменд. от -0.8 до +1.5)",2.3,BasicSettings
Settings_GlobalMultipliers_Group,Глобальные Аттрибуты Элитных Противников,2.3,Groups
Settings_GlobalHealthMultiplier,Модификатор Здоровья,2.3,BasicSettings
Settings_GlobalDamageMultiplier,Модификатор Урона,2.3,BasicSettings
Settings_GlobalSpeedMultiplier,Модификатор Скорости,2.3,BasicSettings
Settings_EnableBonusLoot,Бонусная Добыча с Элитных Врагов,2.3,BasicSettings
Settings_VisualSettings_Group,Визуальные Настройки,2.3,Groups
Settings_ShowEliteName,Показывать Имена Элиты,2.3,VisualSettings
Settings_ShowDetailedHealth,Показывать Здоровье Элиты,2.3,VisualSettings
Settings_AffixDisplayPosition,Позиция Аффиксов,2.3,VisualSettings
Settings_AffixFontSize,Размер Шрифта Аффиксов,2.3,VisualSettings
Settings_AffixCountWeights_Group,Распределение по Количеству Аффиксов (Выше = Чаще),2.3,Groups
Settings_AffixWeight1,1 Аффикс (рекоменд.: 30-70),2.3,BasicSettings
Settings_AffixWeight2,2 Аффикса (рекоменд.: 20-50),2.3,BasicSettings
Settings_AffixWeight3,3 Аффикса (рекоменд.: 10-30),2.3,BasicSettings
Settings_AffixWeight4,4 Аффикса (рекоменд.: 1-10),2.3,BasicSettings
Settings_AffixWeight5,5 Аффиксов (рекоменд.: 0-5),2.3,BasicSettings
Settings_AffixToggles_Group,Индивидуальные Аффиксы,2.3,Groups
Affix_Tanky_Name,Танк,2.3,AffixNames
Affix_Tanky_Description,"Крепкий, но медленный. Добыча: тяжелая броня, аптечки.",2.3,AffixDescription
Affix_Swift_Name,Шустрый,2.3,AffixNames
Affix_Swift_Description,"Быстрый, но менее живучий. Добыча: тотем ловкости, инъектор скорости.",2.3,AffixDescription
Affix_Berserk_Name,Берсерк,2.3,AffixNames
Affix_Berserk_Description,"Сильные атаки, но меньше здоровья. Добыча: штурмовой тотем, адреналиновый инъектор.",2.3,AffixDescription
Affix_Berserk_PopText_1,<color=#DC143C>ЯРОСТЬ!!!</color>,2.3,AffixBehavior
Affix_GlassCannon_Name,Опасный,2.3,AffixNames
Affix_GlassCannon_Description,"Очень высокий урон, но очень мало здоровья. Добыча: специальные бронебойные патроны.",2.3,AffixDescription
Affix_Fisherman_Name,Рыбак,2.3,AffixNames
Affix_Fisherman_Description,"Добыча: разная рыба, наживка и удочки.",2.3,AffixDescription
Affix_Chef_Name,Шеф,2.3,AffixNames
Affix_Chef_Description,Любит хорошенько поесть и попить.,2.3,AffixDescription
Affix_Talkative_Name,Болтун,2.3,AffixNames
Affix_Talkative_Description,"Болтает без умолку, поражая своим красноречием. Может достать кого угодно.",2.3,AffixDescription
