key,value,version,sheet
EliteEnemies_Settings_BasicSettings_Group,精英敌人设置,2.3,Groups
EliteEnemies_Settings_NormalEliteChance,普通怪物精英概率,2.3,BasicSettings
EliteEnemies_Settings_BossEliteChance,Boss精英概率,2.3,BasicSettings
EliteEnemies_Settings_MerchantEliteChance,商人精英概率,2.3,BasicSettings
EliteEnemies_Settings_MaxAffixCount,词条数量上限,2.3,BasicSettings
EliteEnemies_Settings_DropRateMultiplier,精英掉落倍率（1.0 为原样）,2.3,BasicSettings
EliteEnemies_Settings_ItemQualityTier,掉落品质档位（越高越好）,2.3,BasicSettings
EliteEnemies_Settings_GlobalMultipliers_Group,全局属性调整（仅对精英怪生效）,2.3,Groups
EliteEnemies_Settings_GlobalHealthMultiplier,全局血量倍率,2.3,BasicSettings
EliteEnemies_Settings_GlobalDamageMultiplier,全局伤害倍率,2.3,BasicSettings
EliteEnemies_Settings_GlobalSpeedMultiplier,全局速度倍率,2.3,BasicSettings
EliteEnemies_Settings_EnableBonusLoot,启用奖励掉落（由词条数量、稀有度、怪物类型加权决定）,2.3,BasicSettings
EliteEnemies_Settings_VisualSettings_Group,视觉效果设置,2.3,Groups
EliteEnemies_Settings_ShowEliteName,显示精英敌人词缀,2.3,VisualSettings
EliteEnemies_Settings_ShowDetailedHealth,显示精英敌人血量,2.3,VisualSettings
EliteEnemies_Settings_AffixDisplayPosition,"词缀显示位置(Overhead=头顶, Underfoot=脚底)",2.3,VisualSettings
EliteEnemies_Settings_AffixFontSize,词缀字体大小,2.3,VisualSettings
EliteEnemies_Settings_AffixCountWeights_Group,词条数量权重（数值越大越常见；超过「最大词条数」的档位不会生效）,2.3,Groups
EliteEnemies_Settings_AffixWeight1,1个词条的权重（推荐：30-70）,2.3,BasicSettings
EliteEnemies_Settings_AffixWeight2,2个词条的权重（推荐：20-50）,2.3,BasicSettings
EliteEnemies_Settings_AffixWeight3,3个词条的权重（推荐：10-30）,2.3,BasicSettings
EliteEnemies_Settings_AffixWeight4,4个词条的权重（推荐：1-10）,2.3,BasicSettings
EliteEnemies_Settings_AffixWeight5,5个词条的权重（推荐：0-5）,2.3,BasicSettings
EliteEnemies_Settings_AffixToggles_Group,词条开关,2.3,Groups
EliteEnemies_Affix_Tanky_Name,肉盾,2.3,AffixNames
EliteEnemies_Affix_Tanky_Description,更耐打但行动迟缓。掉落：重型防弹衣、弹药,2.3,AffixDescription
EliteEnemies_Affix_Swift_Name,迅捷,2.3,AffixNames
EliteEnemies_Affix_Swift_Description,移动迅速但较为脆弱。掉落：轻盈图腾、提速针剂,2.3,AffixDescription
EliteEnemies_Affix_Berserk_Name,狂暴,2.3,AffixNames
EliteEnemies_Affix_Berserk_Description,攻击力更强但生命略低。掉落：进击图腾、热血针剂,2.3,AffixDescription
EliteEnemies_Affix_Berserk_PopText_1,<color=#DC143C>怒了！！！</color>,2.3,AffixBehavior
EliteEnemies_Affix_GlassCannon_Name,玻璃大炮,2.3,AffixNames
EliteEnemies_Affix_GlassCannon_Description,伤害极高但极其脆弱。掉落：特种穿甲弹,2.3,AffixDescription
EliteEnemies_Affix_Fisherman_Name,钓鱼佬,2.3,AffixNames
EliteEnemies_Affix_Fisherman_Description,掉落各种鱼类、鱼饵与鱼竿,2.3,AffixDescription
EliteEnemies_Affix_Chef_Name,厨子,2.3,AffixNames
EliteEnemies_Affix_Chef_Description,喜欢美食与饮品，掉落罐头、水、甜点等补给物资,2.3,AffixDescription
EliteEnemies_Affix_Talkative_Name,话痨,2.3,AffixNames
EliteEnemies_Affix_Talkative_Description,战斗中会不断发表随机台词或嘲讽,2.3,AffixDescription
EliteEnemies_Affix_Talkative_Messages,我是精英！|来战啊！|你打不过我的！|哈哈哈！|太弱了！,2.3,AffixBehavior
EliteEnemies_Affix_Regeneration_Name,再生,2.3,AffixNames
EliteEnemies_Affix_Regeneration_Description,持续回复生命，每秒回复约 10 点生命值,2.3,AffixDescription
EliteEnemies_Affix_Hardening_Name,硬化,2.3,AffixNames
EliteEnemies_Affix_Hardening_Description,受伤时随机降低 5%-15% 物理伤害，最多50%,2.3,AffixDescription
EliteEnemies_Affix_Hardening_PopText_1,<color=#B2B2B2>硬化 +{0}</color>,2.3,AffixBehavior
EliteEnemies_Affix_Blindness_Name,致盲,2.3,AffixNames
EliteEnemies_Affix_Blindness_Description,攻击使玩家视野受限7秒,2.3,AffixDescription
EliteEnemies_Buff_EliteBuff_Blindness_Name,致盲,2.3,BuffNames
EliteEnemies_Buff_EliteBuff_Blindness_Description,视野距离与视野角度大幅下降,2.3,BuffDescriptions
EliteEnemies_Affix_Slow_Name,迟缓,2.3,AffixNames
EliteEnemies_Affix_Slow_Description,攻击施加减速效果,2.3,AffixDescription
EliteEnemies_Buff_EliteBuff_Slow_Name,迟缓,2.3,BuffNames
EliteEnemies_Buff_EliteBuff_Slow_Description,移动速度降低 50%,2.3,BuffDescriptions
EliteEnemies_Affix_Stun_Name,震慑,2.3,AffixNames
EliteEnemies_Affix_Stun_Description,攻击震慑玩家，枪械控制力下降,2.3,AffixDescription
EliteEnemies_Buff_EliteBuff_Stun_Name,震慑,2.3,BuffNames
EliteEnemies_Buff_EliteBuff_Stun_Description,后坐力控制降低 70%,2.3,BuffDescriptions
EliteEnemies_Affix_Invisible_Name,隐身,2.3,AffixNames
EliteEnemies_Affix_Invisible_Description,获得隐身状态，每隔数秒会短暂显形并闪烁几下,2.3,AffixDescription
EliteEnemies_Affix_Invisible_Messages,你刚才是不是看到我了？|别眨眼，我又消失啦～|嘘……什么都没发生。|幻觉？还是我太快了？|我就在你背后……开玩笑的。,2.3,AffixBehavior
EliteEnemies_Affix_Musician_Name,音乐家,2.3,AffixNames
EliteEnemies_Affix_Musician_Description,带着乐器上战场的奇葩，玩家靠近时随机吹奏曲子，掉落乐器,2.6,AffixDescription
EliteEnemies_Affix_NineDragons_Name,九龙拉棺,2.3,AffixNames
EliteEnemies_Affix_NineDragons_Description,全属性提升 1.3 倍，掉落各种针剂,2.3,AffixDescription
EliteEnemies_Affix_Giant_Name,巨大化,2.3,AffixNames
EliteEnemies_Affix_Giant_Description,敌人变得更大，生命值提升但移动速度降低,2.3,AffixDescription
EliteEnemies_Affix_Mini_Name,迷你,2.3,AffixNames
EliteEnemies_Affix_Mini_Description,敌人变得更小，生命略低但移速略微提升,2.3,AffixDescription
EliteEnemies_Affix_Undead_Name,不死,2.3,AffixNames
EliteEnemies_Affix_Undead_Description,残血时短暂无敌 2.5 秒，并恢复至 50% 生命,2.3,AffixDescription
EliteEnemies_Affix_Undead_PopText_1,还没那么容易倒下！,2.3,AffixBehavior
EliteEnemies_Affix_Undead_PopText_2,萎了！,2.3,AffixBehavior
EliteEnemies_Affix_Vampirism_Name,吸血,2.3,AffixNames
EliteEnemies_Affix_Vampirism_Description,攻击时回复一定比例自身生命值（远程效果减弱）,2.3,AffixDescription
EliteEnemies_Affix_Vampirism_PopText_1,<color=#DC143C>吸血回复！+{0}</color>,2.3,AffixBehavior
EliteEnemies_Affix_DungEater_Name,食粪者,2.3,AffixNames
EliteEnemies_Affix_DungEater_Description,鸭科夫玩家最喜欢的一集？,2.3,AffixDescription
EliteEnemies_Buff_EliteBuff_DungEater_Name,食粪者,2.3,BuffNames
EliteEnemies_Buff_EliteBuff_DungEater_Description,当场呕吐,2.3,BuffDescriptions
EliteEnemies_Affix_Chaos_Name,混沌,2.3,AffixNames
EliteEnemies_Affix_Chaos_Description,攻击随机产生异常效果,2.3,AffixDescription
EliteEnemies_Affix_Chaos_PopText_1,<color=#9400D3>混沌侵蚀！{0}</color>,2.3,AffixBehavior
EliteEnemies_Affix_Split_Name,分裂,2.3,AffixNames
EliteEnemies_Affix_Split_Description,敌人残血时召唤数个更弱的分身,2.3,AffixDescription
EliteEnemies_Affix_Explosive_Name,自爆,2.3,AffixNames
EliteEnemies_Affix_Explosive_Description,死亡后引发小范围爆炸，造成约 10-30 点伤害（依据玩家最大生命值）,2.3,AffixDescription
EliteEnemies_Affix_TimeStop_Name,时停,2.3,AffixNames
EliteEnemies_Affix_TimeStop_Description,受伤时使时间流速降至 30%，持续约 3 秒,2.3,AffixDescription
EliteEnemies_Affix_TimeStop_PopText_1,<color=#FFD700>砸瓦鲁多！</color>,2.3,AffixBehavior
EliteEnemies_Affix_MagazineCurse_Name,弹匣诅咒,2.3,AffixNames
