key,value,version,sheet
EliteEnemies_Settings_BasicSettings_Group,Elite enemy settings,2.3,Groups
EliteEnemies_Settings_NormalEliteChance,Normal enemy elite chance,2.3,BasicSettings
EliteEnemies_Settings_BossEliteChance,Boss elite chance,2.3,BasicSettings
EliteEnemies_Settings_MerchantEliteChance,Merchant elite chance,2.3,BasicSettings
EliteEnemies_Settings_MaxAffixCount,Max affix count,2.3,BasicSettings
EliteEnemies_Settings_DropRateMultiplier,Elite loot multiplier (1.0 = default),2.3,BasicSettings
EliteEnemies_Settings_ItemQualityTier,Loot quality tier (higher = better),2.3,BasicSettings
EliteEnemies_Settings_GlobalMultipliers_Group,Global Attribute Adjustments (Elite Enemies Only),2.3,Groups
EliteEnemies_Settings_GlobalHealthMultiplier,Global Health Multiplier,2.3,BasicSettings
EliteEnemies_Settings_GlobalDamageMultiplier,Global Damage Multiplier,2.3,BasicSettings
EliteEnemies_Settings_GlobalSpeedMultiplier,Global Speed Multiplier,2.3,BasicSettings
EliteEnemies_Settings_EnableBonusLoot,"Enable Bonus Loot (Weighted by affix count, rarity, and enemy type)",2.3,BasicSettings
EliteEnemies_Settings_VisualSettings_Group,Global Visual Settings,2.3,Groups
EliteEnemies_Settings_ShowEliteName,Show Elite Enemy Names,2.3,VisualSettings
EliteEnemies_Settings_ShowDetailedHealth,Show elite enemy health,2.3,VisualSettings
EliteEnemies_Settings_AffixDisplayPosition,Affix Display Position,2.3,VisualSettings
EliteEnemies_Settings_AffixFontSize,Affix Font Size,2.3,VisualSettings
EliteEnemies_Settings_AffixCountWeights_Group,Affix Count Weights (higher = more common; tiers above Max Affix Count have no effect),2.3,Groups
EliteEnemies_Settings_AffixWeight1,Weight for 1 affix (Recommended: 30-70),2.3,BasicSettings
EliteEnemies_Settings_AffixWeight2,Weight for 2 affixes (Recommended: 20-50),2.3,BasicSettings
EliteEnemies_Settings_AffixWeight3,Weight for 3 affixes (Recommended: 10-30),2.3,BasicSettings
EliteEnemies_Settings_AffixWeight4,Weight for 4 affixes (Recommended: 1-10),2.3,BasicSettings
EliteEnemies_Settings_AffixWeight5,Weight for 5 affixes (Recommended: 0-5),2.3,BasicSettings
EliteEnemies_Settings_AffixToggles_Group,Affix toggles,2.3,Groups
EliteEnemies_Affix_Tanky_Name,Tanky,2.3,AffixNames
EliteEnemies_Affix_Tanky_Description,Tougher but slower. Drops: Heavy armor and ammo.,2.3,AffixDescription
EliteEnemies_Affix_Swift_Name,Swift,2.3,AffixNames
