key,value,version,sheet
EliteEnemies_Settings_BasicSettings_Group,Элитные Противники,2.3,Groups
EliteEnemies_Settings_NormalEliteChance,Шанс Элиты Для Нормальных Противников,2.3,BasicSettings
EliteEnemies_Settings_BossEliteChance,Шанс Элиты Для Боссов,2.3,BasicSettings
EliteEnemies_Settings_MerchantEliteChance,Шанс Элиты Для Торговца,2.3,BasicSettings
EliteEnemies_Settings_MaxAffixCount,Максимальное Число Аффиксов,2.3,BasicSettings
EliteEnemies_Settings_DropRateMultiplier,Множитель добычи элиты: масштабирует ожидаемое число предметов (1.0 = без изменений; 0.5 = вдвое меньше; 2.0 = вдвое больше). По умолчанию 1.0,2.3,BasicSettings
EliteEnemies_Settings_ItemQualityTier,Уровень качества 0-6; выше — лучше лут. Средний уровень = 2.0 + 0.5 x уровень (при уровнях 1-7; уровень 4 — равномерно),2.3,BasicSettings
EliteEnemies_Settings_GlobalMultipliers_Group,Глобальные Аттрибуты Элитных Противников,2.3,Groups
EliteEnemies_Settings_GlobalHealthMultiplier,Модификатор Здоровья,2.3,BasicSettings
EliteEnemies_Settings_GlobalDamageMultiplier,Модификатор Урона,2.3,BasicSettings
EliteEnemies_Settings_GlobalSpeedMultiplier,Модификатор Скорости,2.3,BasicSettings
EliteEnemies_Settings_EnableBonusLoot,Бонусная Добыча с Элитных Врагов,2.3,BasicSettings
EliteEnemies_Settings_VisualSettings_Group,Визуальные Настройки,2.3,Groups
EliteEnemies_Settings_ShowEliteName,Показывать Имена Элиты,2.3,VisualSettings
EliteEnemies_Settings_ShowDetailedHealth,Показывать Здоровье Элиты,2.3,VisualSettings
EliteEnemies_Settings_AffixDisplayPosition,Позиция Аффиксов,2.3,VisualSettings
EliteEnemies_Settings_AffixFontSize,Размер Шрифта Аффиксов,2.3,VisualSettings
EliteEnemies_Settings_AffixCountWeights_Group,Распределение по Количеству Аффиксов (выше = чаще; уровни выше «Макс. числа аффиксов» не действуют),2.3,Groups
EliteEnemies_Settings_AffixWeight1,1 Аффикс (рекоменд.: 30-70),2.3,BasicSettings
EliteEnemies_Settings_AffixWeight2,2 Аффикса (рекоменд.: 20-50),2.3,BasicSettings
EliteEnemies_Settings_AffixWeight3,3 Аффикса (рекоменд.: 10-30),2.3,BasicSettings
EliteEnemies_Settings_AffixWeight4,4 Аффикса (рекоменд.: 1-10),2.3,BasicSettings
EliteEnemies_Settings_AffixWeight5,5 Аффиксов (рекоменд.: 0-5),2.3,BasicSettings
EliteEnemies_Settings_AffixToggles_Group,Индивидуальные Аффиксы,2.3,Groups
EliteEnemies_Affix_Tanky_Name,Танк,2.3,AffixNames
EliteEnemies_Affix_Tanky_Description,"Крепкий, но медленный. Добыча: тяжелая броня, патроны.",2.3,AffixDescription
EliteEnemies_Affix_Swift_Name,Шустрый,2.3,AffixNames
EliteEnemies_Affix_Swift_Description,"Быстрый, но менее живучий. Добыча: тотем ловкости, инъектор скорости.",2.3,AffixDescription
EliteEnemies_Affix_Berserk_Name,Берсерк,2.3,AffixNames
EliteEnemies_Affix_Berserk_Description,"Сильные атаки, но меньше здоровья. Добыча: штурмовой тотем, адреналиновый инъектор.",2.3,AffixDescription
EliteEnemies_Affix_Berserk_PopText_1,<color=#DC143C>ЯРОСТЬ!!!</color>,2.3,AffixBehavior
EliteEnemies_Affix_GlassCannon_Name,Опасный,2.3,AffixNames
EliteEnemies_Affix_GlassCannon_Description,"Очень высокий урон, но очень мало здоровья. Добыча: специальные бронебойные патроны.",2.3,AffixDescription
EliteEnemies_Affix_Fisherman_Name,Рыбак,2.3,AffixNames
EliteEnemies_Affix_Fisherman_Description,"Добыча: разная рыба, наживка и удочки.",2.3,AffixDescription
EliteEnemies_Affix_Chef_Name,Шеф,2.3,AffixNames
EliteEnemies_Affix_Chef_Description,Любит хорошенько поесть и попить.,2.3,AffixDescription
EliteEnemies_Affix_Talkative_Name,Болтун,2.3,AffixNames
EliteEnemies_Affix_Talkative_Description,"Болтает без умолку, поражая своим красноречием. Может достать кого угодно.",2.3,AffixDescription
EliteEnemies_Affix_Talkative_Messages,"Астрологи объявили неделю Элиты!|И это всё, на что ты способен?|Стреляйте! Уйдут, шеф! Стреляйте!|Ну ты и мазила!|Ха! Это было щекотно!|Я вижу страх в твоих глазах|А ну иди сюда!|Война никогда не меняется|Тебе не сбежать!|Кто не спрятался, я не виноват!",2.3,AffixBehavior
EliteEnemies_Affix_Regeneration_Name,Регенерат,2.3,AffixNames
EliteEnemies_Affix_Regeneration_Description,"Постоянно восстанавливает здоровье, по 10 в секунду",2.3,AffixDescription
EliteEnemies_Affix_Hardening_Name,Закалённый,2.3,AffixNames
EliteEnemies_Affix_Hardening_Description,Повышает сопростивление физическому урону на 5%-15% за каждый удар (макс - 50%).,2.3,AffixDescription
EliteEnemies_Affix_Hardening_PopText_1,<color=#B2B2B2>Закалка +{0}</color>,2.3,AffixBehavior
EliteEnemies_Affix_Blindness_Name,Ослепляющий,2.3,AffixNames
EliteEnemies_Affix_Blindness_Description,Атаки временно ослепляют.,2.3,AffixDescription
EliteEnemies_Buff_EliteBuff_Blindness_Name,Слепота,2.3,BuffNames
EliteEnemies_Buff_EliteBuff_Blindness_Description,Дальность и угол обзора сильно снижены.,2.3,BuffDescriptions
EliteEnemies_Affix_Slow_Name,Замедляющий,2.3,AffixNames
EliteEnemies_Affix_Slow_Description,Атаки временно замедляют.,2.3,AffixDescription
